"","business_id","name","neighborhood","address","city","state","postal_code","latitude","longitude","stars","review_count","is_open","categories","AcceptsInsurance","ByAppointmentOnly","BusinessAcceptsCreditCards","BusinessParking_garage","BusinessParking_street","BusinessParking_validated","BusinessParking_lot","BusinessParking_valet","HairSpecializesIn_coloring","HairSpecializesIn_africanamerican","HairSpecializesIn_curly","HairSpecializesIn_perms","HairSpecializesIn_kids","HairSpecializesIn_extensions","HairSpecializesIn_asian","HairSpecializesIn_straightperms","RestaurantsPriceRange2","GoodForKids","WheelchairAccessible","BikeParking","Alcohol","HasTV","NoiseLevel","RestaurantsAttire","Music_dj","Music_background_music","Music_no_music","Music_karaoke","Music_live","Music_video","Music_jukebox","Ambience_romantic","Ambience_intimate","Ambience_classy","Ambience_hipster","Ambience_divey","Ambience_touristy","Ambience_trendy","Ambience_upscale","Ambience_casual","RestaurantsGoodForGroups","Caters","WiFi","RestaurantsReservations","RestaurantsTakeOut","HappyHour","GoodForDancing","RestaurantsTableService","OutdoorSeating","RestaurantsDelivery","BestNights_monday","BestNights_tuesday","BestNights_friday","BestNights_wednesday","BestNights_thursday","BestNights_sunday","BestNights_saturday","GoodForMeal_dessert","GoodForMeal_latenight","GoodForMeal_lunch","GoodForMeal_dinner","GoodForMeal_breakfast","GoodForMeal_brunch","CoatCheck","Smoking","DriveThru","DogsAllowed","BusinessAcceptsBitcoin","Open24Hours","BYOBCorkage","BYOB","Corkage","DietaryRestrictions_dairy.free","DietaryRestrictions_gluten.free","DietaryRestrictions_vegan","DietaryRestrictions_kosher","DietaryRestrictions_halal","DietaryRestrictions_soy.free","DietaryRestrictions_vegetarian","AgesAllowed","RestaurantsCounterService"
"1","Pd52CjgyEU3Rb8co6QfTPw","""Flight Deck Bar & Grill""","Southeast","""6730 S Las Vegas Blvd""","Las Vegas","NV",89119,36.0669136,-115.1708484,4,13,1,"Nightlife;Bars;Barbeque;Sports Bars;American (New);Restaurants","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","True","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na"
"2","W1Yr6c2XDx_RBjb6WsV-aQ","""Divine Cafe at the Springs Preserve""","Westside","""333 S Valley View Blvd""","Las Vegas","NV",89152,36.1707064994,-115.190288481,4,140,1,"Restaurants;Cafes;American (New);Bars;Nightlife;Wine Bars","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","True","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na"
"3","WfB_SsYeKy83QQsqAAyGVQ","""Cancun Bar & Grill""","Southeast","""5006 S Maryland Pkwy, Ste 17""","Las Vegas","NV",89119,36.0986321,-115.1360793,4.5,5,1,"Karaoke;Bars;Mexican;Restaurants;Nightlife;Dance Clubs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","0Yeb_P24sj6MwG2qmuehkA","""Till's Bar""","","""344 E Desert Inn Rd""","Las Vegas","NV",89109,36.1299495427,-115.161028004,4.5,42,1,"Bars;Sports Bars;Arts & Entertainment;Casinos;Karaoke;Nightlife","Na","Na","Na","Na","False","True","False","True","False","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","False","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na"
"5","NoSj3hV8Rlz_gUsOL4_EjQ","""Jack's Pub""","","""2416 W Sahara Ave""","Las Vegas","NV",89102,36.1444404,-115.1744386,2.5,21,1,"Nightlife;Pubs;Restaurants;Irish;Bars","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","False","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na"
"6","aNe8ofTYrealxqv7VtFTuw","""Sierra Gold""","Spring Valley","""6515 S Jones Blvd""","Las Vegas","NV",89118,36.0703249,-115.2249525,3.5,215,1,"American (New);Restaurants;Pubs;Nightlife;Sports Bars;Bars;Food;Pizza;Breweries","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","True","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na"
"7","m7pPqt6UY-S1Wy0iR2IqZA","""Mist Bar and Lounge""","The Strip","""Treasure Island Hotel & Casino, 3300 Las Vegas Blvd S""","Las Vegas","NV",89109,36.1305020791,-115.168726541,3,21,0,"Lounges;Nightlife;Bars","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","full_bar","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na"
"8","GCRvrxMSC1nzShyM4Y-guQ","""Body English""","Eastside","""Hard Rock Hotel & Casino, 4455 Paradise Rd""","Las Vegas","NV",89169,36.109519,-115.153331,3.5,264,0,"Bars;Lounges;Nightlife;Dance Clubs","Na","Na","Na","Na","True","False","False","False","False","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","True","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na"
"9","Y4JxC1jgesxOzqUyGFwlEA","""UNLV Rock n' Brew Beer & Music Festival""","","""4321 W Flamingo Rd""","Las Vegas","NV",89103,36.1138985165,-115.195951313,3,3,1,"Bars;Nightlife;Festivals;Arts & Entertainment","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","False","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na"
"10","ZPZYNq9fNu2GyeCSz7U-fg","""Five Star Tavern""","Sunrise","""4220 E Charleston Blvd""","Las Vegas","NV",89104,36.1590151,-115.0850773,3,6,1,"Bars;Casinos;American (New);Arts & Entertainment;Restaurants;Nightlife","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","False","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na","Na"
